location,elevation
0,1254.0
1,1167.0
2,1091.0
3,1232.0
4,1142.0
5,1113.0
6,1146.0
7,1130.0
8,1138.0
9,1199.0
10,1218.0
11,1200.0
12,1128.0
13,1163.0
14,1177.0
15,1228.0
16,1224.0
17,1104.0
18,1122.0
19,1150.0
20,1095.0
21,1254.0
22,1146.0
23,1208.0
24,1197.0
25,1109.0
26,1157.0
27,1216.0
28,1195.0
29,1099.0
30,1193.0
31,1258.0
32,1251.0
33,1205.0
34,1264.0
35,1108.0
36,1209.0
37,1200.0
38,1176.0
39,1106.0
40,1236.0
41,1231.0
42,1220.0
43,1195.0
44,1145.0
45,1234.0
46,1079.0
47,1142.0
48,1267.0
49,1120.0
50,1204.0
51,1074.0
52,1158.0
53,1132.0
54,1219.0
55,1060.0
56,1200.0
57,1107.0
58,1063.0
59,1152.0
60,1266.0
61,1242.0
62,1094.0
63,1169.0
64,1081.0
65,1062.0
66,1089.0
67,1239.0
68,1229.0
69,1146.0
70,1132.0
71,1265.0
72,1088.0
73,1267.0
74,1123.0
75,1089.0
76,1080.0
77,1194.0
78,1147.0
79,1112.0
80,1195.0
81,1132.0
82,1089.0
83,1166.0
84,1179.0
85,1105.0
86,1146.0
87,1177.0
88,1103.0
89,1176.0
90,1104.0
91,1165.0
92,1259.0
93,1173.0
94,1138.0
95,1077.0
96,1108.0
97,1251.0
98,1174.0
99,1152.0
100,1264.0
101,1107.0
102,1159.0
103,1176.0
104,1099.0
105,1156.0
106,1109.0
107,1104.0
108,1187.0
109,1167.0
110,1147.0
111,1214.0
112,1189.0
113,1146.0
114,1165.0
115,1256.0
116,1120.0
117,1241.0
118,1134.0
119,1100.0
120,1197.0
121,1146.0
122,1253.0
123,1203.0
124,1104.0
125,1180.0
126,1184.0
127,1240.0
128,1082.0
129,1195.0
130,1165.0
131,1172.0
132,1256.0
133,1186.0
134,1173.0
135,1108.0
136,1207.0
137,1099.0
138,1128.0
139,1104.0
140,1204.0
141,1246.0
142,1183.0
143,1238.0
144,1085.0
145,1246.0
146,1095.0
147,1141.0
148,1244.0
149,1186.0
150,1157.0
151,1261.0
152,1146.0
153,1146.0
154,1280.0
155,1264.0
156,1157.0
157,1232.0
158,1083.0
159,1165.0
160,1186.0
161,1159.0
162,1192.0
163,1099.0
164,1137.0
165,1180.0
166,1131.0
167,1162.0
168,1144.0
169,1187.0
170,1108.0
171,1154.0
172,1111.0
173,1193.0
174,1104.0
175,1161.0
176,1163.0
177,1136.0
178,1186.0
179,1127.0
180,1218.0
181,1125.0
182,1148.0
183,1169.0
184,1089.0
185,1093.0
186,1221.0
187,1115.0
188,1265.0
189,1159.0
190,1143.0
191,1220.0
192,1217.0
193,1070.0
194,1089.0
195,1112.0
196,1082.0
197,1135.0
198,1090.0
199,1229.0
200,1193.0
201,1260.0
202,1120.0
203,1130.0
204,1246.0
205,1126.0
206,1205.0
207,1134.0
208,1066.0
209,1244.0
210,1101.0
211,1271.0
212,1254.0
213,1240.0
214,1159.0
215,1092.0
216,1137.0
217,1117.0
218,1082.0
219,1244.0
220,1081.0
221,1183.0
222,1257.0
223,1207.0
224,1223.0
225,1193.0
226,1108.0
227,1135.0
228,1239.0
229,1094.0
230,1143.0
231,1128.0
232,1281.0
233,1141.0
234,1174.0
235,1191.0
236,1105.0
237,1179.0
238,1135.0
239,1210.0
240,1245.0
241,1248.0
242,1137.0
243,1130.0
244,1172.0
245,1213.0
246,1058.0
247,1148.0
248,1076.0
249,1169.0
250,1146.0
251,1202.0
252,1117.0
253,1125.0
254,1249.0
255,1235.0
256,1204.0
257,1120.0
258,1245.0
259,1237.0
260,1182.0
261,1104.0
262,1149.0
263,1261.0
264,1272.0
265,1078.0
266,1128.0
267,1244.0
268,1144.0
269,1151.0
270,1148.0
271,1181.0
272,1190.0
273,1131.0
274,1140.0
275,1098.0
276,1154.0
277,1118.0
278,1253.0
279,1242.0
280,1129.0
281,1088.0
282,1206.0
283,1149.0
284,1123.0
285,1260.0
286,1212.0
287,1135.0
288,1112.0
289,1103.0
290,1168.0
291,1222.0
292,1252.0
293,1221.0
294,1268.0
295,1096.0
296,1104.0
297,1238.0
298,1195.0
299,1074.0
